,category,sub_category,href,items,price,category_mean_price,sub_cat_mean_price
94,Home & Kitchen,Building Supplies & Measuring Tools,https://www.jiomart.com/c/groceries/home-kitchen/building-supplies-measuring-tools/air-quality-tester/5423,PCE Instruments Air Quality Meter PCE-PTH 10,10000.0,1119.0,10000.0
95,Home & Kitchen,Hardware & Plumbing,https://www.jiomart.com/c/groceries/home-kitchen/hardware-plumbing/hook-and-loop-fasteners/5461,"ELITEHOME Set of 10 Plastic Silver Wall Hooks, Magic Sticker Hooks, Self Adhesive Hooks for Keys",179.0,1119.0,276.0
96,Home & Kitchen,Hardware & Plumbing,https://www.jiomart.com/c/groceries/home-kitchen/hardware-plumbing/hook-and-loop-fasteners/5461,"ELITEHOME Stainless Steel Wall Hook Sticker For Hanging Hooks For Wall,Sticky Self Adhesive Hooks",399.0,1119.0,276.0
97,Home & Kitchen,Hardware & Plumbing,https://www.jiomart.com/c/groceries/home-kitchen/hardware-plumbing/hook-and-loop-fasteners/5461,"ELITEHOME Heavy Duty Wall Hooks Self Adhesive Hooks For Kitchen, Bathroom Hooks For Wall Sticky Hooks",249.0,1119.0,276.0
98,Home & Kitchen,Home Safety & Automation,https://www.jiomart.com/c/groceries/home-kitchen/home-safety-automation/safes-accessories/5418,"Ozone Black Jade Safe, 26 L",11432.0,1119.0,9965.0
99,Home & Kitchen,Home Safety & Automation,https://www.jiomart.com/c/groceries/home-kitchen/home-safety-automation/safes-accessories/5418,"Ozone Black Jade 01 Safe, 9.8 L",7912.0,1119.0,9965.0
100,Home & Kitchen,Home Safety & Automation,https://www.jiomart.com/c/groceries/home-kitchen/home-safety-automation/safes-accessories/5418,Ozone Safilo Bio-Z,10552.0,1119.0,9965.0
101,Home & Kitchen,Kitchen & Bath Fixtures,https://www.jiomart.com/c/groceries/home-kitchen/kitchen-bath-fixtures/bathroom-fixtures/5500,"Self Adhesive Tissue Toilet Paper Holder with Mobile Phone Storage Shelf, Wall-Mounted Paper Towel Storage Rack Bathroom Wall Shelf (White, Tissue Holder with Mobile Stand)",349.0,1119.0,416.0
102,Home & Kitchen,Kitchen & Bath Fixtures,https://www.jiomart.com/c/groceries/home-kitchen/kitchen-bath-fixtures/bathroom-fixtures/5500,U-S-F BATH ACCESSORIES Silver Stainless Steel Towel Holder,399.0,1119.0,416.0
103,Home & Kitchen,Kitchen & Bath Fixtures,https://www.jiomart.com/c/groceries/home-kitchen/kitchen-bath-fixtures/bathroom-fixtures/5500,U-S-F BATH ACCESSORIES Silver Metal Towel Holder,499.0,1119.0,416.0
104,Home & Kitchen,"Paint, Wall Treatments & Supplies",https://www.jiomart.com/c/groceries/home-kitchen/paint-wall-treatments-supplies/painting-supplies-tools/5434,Asian Paints Aqua Blue Polypropelene Disposable Foot Cover (Pack Of 25),956.0,1119.0,1265.0
105,Home & Kitchen,"Paint, Wall Treatments & Supplies",https://www.jiomart.com/c/groceries/home-kitchen/paint-wall-treatments-supplies/painting-supplies-tools/5434,Asian Paints Multicolor Fan Deck Spectra Cosmos,2000.0,1119.0,1265.0
106,Home & Kitchen,"Paint, Wall Treatments & Supplies",https://www.jiomart.com/c/groceries/home-kitchen/paint-wall-treatments-supplies/painting-supplies-tools/5434,Asian Paints White Coating Paint - 1L,840.0,1119.0,1265.0
